,word,automation_trigram_count
438,according automation spending,1
439,according automation study,1
440,according automation survey,1
441,according automation table,1
442,account automation automation,1
443,account automation first,1
444,account automation numbering,1
445,account automation taken,1
446,account automation update,1
447,accounted automation force,1
448,accounted automation large,1
449,accounting automation executive,2
450,accounting automation system,1
451,accruing automation government,1
452,accruing automation increased,1
453,accruing automation saving,1
454,accuracy1 american automation,1
455,accuracy1 automation demand,1
456,accurate automation secure,1
457,accurately automation described,1
458,accurately automation mechanization,1
459,accurately automation second,1
460,accused automation weisberger,1
461,achieve automation process,1
462,achieve automation production,1